[771, 608, 467, 646, 10, -104, 515, 281, 654, -210, 279, 251, 998, -229, 505, 865, 800, 864, 840, 16, 196, 829, 216, 186, 505, 640, 366, 260, 151, 146, 834, 932, 801, 751, 10, -143, 769, -9, 943, 170, 490, 854, 251, -10, 734, 248, 668, -225, 999, -170]
[-239, 380, 346, 43, 503, 553, 969, 864, 575, 556, 240, 188, 605, 973, 846, 654, 770, 287, -201, 964, -224, 719, 976, 406, -77, 392, -96, 990, -59, 842, 38, 289, 990, 568, -26, 372, 448, 12, 962, -173, 196, 283, 715, -147, 852, 323, 494, 783, 10, 1002]
[-2, 83, 244, -54, 55, 468, -203, 536, 293, 317, 271, -236, -243, 843, 578, -209, 755, 193, 977, 415, -210, 74, 10, 547, 883, 216, 424, 334, -213, 697, 552, 813, 616, 994, 26, 163, -83, 853, -7, 246, 161, -168, -19, -154, 964, 44, -166, 386, -116, 57]
[962, 628, 359, -87, 840, 906, 951, 726, 427, 827, 450, 95, 321, 683, 949, 524, 742, 422, 397, 209, 997, -22, -121, 78, -47, 156, 471, 757, 452, 966, -242, 761, 684, -109, 998, 138, 752, -46, -190, 887, 454, 740, 797, 975, 282, 361, 513, 963, 1003, 24]
[126, 39, 768, 702, 989, 331, -217, 998, 552, 860, 173, 20, 711, -226, 1008, 541, 104, 870, 226, 960, 949, -48, 1005, 200, 311, 144, 257, 912, 611, 440, -91, -75, 809, -52, -58, 749, 997, 199, 994, 763, -219, 381, 655, -210, 583, 697, -108, 680, 193, -140]
[202, 405, 408, 378, -16, 763, 159, -26, 705, 722, 414, -240, 863, 687, 33, 395, 81, 580, 28, 335, -188, 341, -133, 305, 187, 164, 558, 244, 687, 398, 722, 963, 216, -125, 814, -208, 374, 1001, 840, 630, 925, 441, 276, 280, 307, 485, 494, 833, -9, 478]
[455, 949, 518, 740, -164, 820, 400, 526, 888, 255, 908, -238, 878, 998, 706, 131, 525, -138, 810, 708, -13, 918, -109, 782, 358, -207, 630, -37, 389, 790, 375, -122, 520, 103, 555, 265, -74, 988, 195, 511, 672, 658, 428, 625, 831, 722, 793, 520, 412, 830]
[98, 989, 527, -37, 744, 85, 107, 479, 675, 157, 712, 737, 269, 364, -125, 381, 963, 611, 390, 241, -208, 622, 851, -228, 521, 974, 891, 95, 298, 659, 426, 989, 699, 521, -49, 478, 287, 41, 452, 853, -187, 343, 108, 203, 155, 174, 988, -78, 290, 44]
[-99, 593, -115, -92, 100, 244, -134, 592, 418, -249, 31, 347, 258, 372, 582, 351, 633, 898, 767, 919, 374, 631, 375, -247, 233, -203, 766, 66, 462, 644, 83, 540, 507, 86, -113, 331, 958, 960, -35, 245, 213, -83, 966, 9, 906, -151, 383, 933, 492, 962]
[322, 148, -199, 394, 775, 496, 528, 573, 248, 438, 378, 515, 393, 281, 760, 294, 762, 449, 828, 664, 608, 23, 899, 975, 439, -93, 848, 726, 561, 607, -139, 464, 462, -194, 746, 367, 493, 842, 100, 228, 25, -19, 377, 290, 135, 845, 434, 563, -71, -43]
